Name,Price,Quantity,Total,Grand Total
Gold Sarcophagus,4.03,1,4.03,
Graceful Charity (BP02)(1st),8.77,6,52.62,
Graceful Charity (BP02)(Holo),10.61,1,10.61,
Graceful Charity (BP02)(Unlimited),3.94,1,3.94,
Graceful Charity (SDP)(1st),4,4,16,
Graceful Charity (SDP)(Unlimited),4.5,20,90,
Gravedigger Ghoul,3.75,1,3.75,
Guarded Treasure,18.7,5,93.5,
Hammer Shot (DR3),3.99,1,3.99,
Hammer Shot (SOD),5,2,10,
Harpie Lady Phoenix Formation,5.19,2,10.38,
Harpie's Feather Duster (BP01),15.46,1,15.46,
Harpie's Feather Duster (LCJW),25.69,1,25.69,
Harpie's Feather Duster (SDD),30.08,1,30.08,
Heavy Storm,7.89,3,23.67,
Heraldry Reborn,2.98,2,5.96,
Hero Flash!!,14,1,14,
Hidden Temples of Necrovalley,4.87,1,4.87,
Hieratic Seal of Convocation (1st),2.53,1,2.53,
Hieratic Seal of Convocation (Unlimited),5.17,2,10.34,
Infinite Cards,3.3,2,6.6,
Insect Armor with Laser Cannon,2.2,2,4.4,
Iron Core of Koa'ki Meiru (EN055),2.89,2,5.78,
Iron Core of Koa'ki Meiru (ENPP1),5.26,9,47.34,
Javelin Beetle Pact,3,18,54,
Light Laser,3.95,1,3.95,
Lightsworn Sabre,5.32,2,10.64,
Limiter Removal (CP01),2.45,1,2.45,
Limiter Removal (DB1),4,1,4,
Limiter Removal (PSV),30,4,120,
Lucky Iron Axe,3.92,1,3.92,
Mage Power,0.99,1,0.99,
Magic Reflector,2.4,1,2.4,
Malefic World,6.48,7,45.36,
Malevolent Nuzzler,2.98,1,2.98,
March of the Monarchs,6.38,2,12.76,
Marshmallon Glasses,3.81,1,3.81,
Mask of Brutality,3.91,1,3.91,
Mask of Dispel,4.5,1,4.5,
Mask of the Accursed,6,4,24,
Megamorph (SD09),2.25,1,2.25,
Megamorph (SDCR),1.25,3,3.75,
Mesmeric Control,5.16,1,5.16,
Message in a Bottle ,3.74,8,29.92,
Messenger of Peace,4.5,1,4.5,
Mind Control (LCYW),5.22,5,26.1,
Mind Control (PGLD),4,1,4,
Mind Control (WCS),17.99,4,71.96,
Mind Pollutant,2.98,1,2.98,
Miraculous Rebirth,3,1,3,
Mirage of Nightmare,6,2,12,
Molten Conduction Field (DT07),4.9,3,14.7,
Molten Conduction Field (HA07),4.9,6,29.4,
Monster Reborn (BP02),3.63,3,10.89,
Monster Reborn (SDBE),2.04,2,4.08,
Monster Reborn (SDK),4.39,1,4.39,
Monster Reborn (SDP),2.74,2,5.48,
Monster Reborn (SDY),3,1,3,
Monster Reborn (SYE),0.5,2,1,
Monster Recovery,2.49,3,7.47,
Monster Reincarnation (RDS),5.5,6,33,
Monster Reincarnation (SDDL),1.18,2,2.36,
Mount Sylvania,4.04,5,20.2,
Necklace of Command,2.2,6,13.2,
Nitro Unit,2.35,2,4.7,
Nobleman of Extermination,0.99,4,3.96,
One for One (DP09),5.98,7,41.86,
One for One (RGBT),11.44,1,11.44,
One for One (SP13),4.17,1,4.17,
Onomatopaira,5.89,2,11.78,
Over Destiny,6.5,5,32.5,
Overlay Capture,2.38,2,4.76,
Overload Fusion (POTD),5.99,1,5.99,
Overload Fusion (RYMP),8.15,1,8.15,
Painful Choice,47.99,3,143.97,
Paralyzing Chain,4.87,1,4.87,
Particle Fusion,4.52,2,9.04,
Performance Hurricane,1.75,1,1.75,
Phantasmal Martyrs,8.99,1,8.99,
Pot of Greed (BP01),6.82,3,20.46,
Pot of Greed (BP02),5.25,1,5.25,
Pot of Greed (SD1),5.7,1,5.7,
Premature Burial (BP01),3.27,1,3.27,
Premature Burial (BP02),1.28,7,8.96,
Premature Burial (PSV),17.96,1,17.96,
Puppet Ritual ,7.83,5,39.15,
Question ,12.5,4,50,
Remove Trap (SDP),5,1,5,
Remove Trap (SDY),3.71,2,7.42,
Resonator Engine (LC5D),2.14,1,2.14,
Resonator Engine (STOR),2.61,2,5.22,
The A. Forces,1.29,1,1.29,
The Flute of Summoning Dragon (BTK),1.29,1,1.29,
The Flute of Summoning Dragon (DLG1),2.89,1,2.89,
The Flute of Summoning Dragon (SDK),63.94,7,447.58,
The Warrior Returning Alive (YS13),5.06,1,5.06,
The Warrior Returning Alive (YSD),3.23,1,3.23,
ucky Iron Axe,3.92,2,7.84,
Where Arf Thou?,5.06,1,5.06,
